gros subțire
imperfect ireproșabil
apetisant neatrăgător
model simplu
majuscul minuscul
absent prezent
anterograd retrograd
borțoasă neînsărcinată
nechemat priceput
conștient neatent
perpendicular înclinat
nebunesc socotit
ineficient productiv
liber lipsit
corect necinstit
chibzuit nebunesc
deflaționist inflaționist
profund superficial
delicat stângaci
discontinuu necontenit
fecund infertil
convex concav
prost vioi
necorespunzător potrivit
incoruptibil necinstit
exotermic endotermic
eficace ineficient
bidimensional tridimensional
neclintit în
acceptabil nepermis
exact imprecis
incoruptibil neonest
alene rapid
lat îngust
nepotrivit nimerit
echitabil injust
primejdios sigur
luminos întunecat
concentric excentric
mijloc întârziat
ostil prieten
incomensurabil măsurabil
blond brunet
instabil neîntrerupt
diform proporționat
nevrednic valoros
homosexual heterosexual
animal neanimat
neînsemnat semnificativ
cutezător sfios
anost vioi
multilateral unilateral
drept încovoiat
integru necinstit
favorabil nepotrivit
prost repede
senin înnorat
septic sterilizat
avizat neinformat
central mărginaș
bombat concav
relaxat tensionat
endotermic exoterm
binevoitor ostil
integru necorect
domesticit sălbatic
dispus descurajator
cert nesigur
curent viitor
euforic nefericit
premergător următor
descurajant dispus
afurisit binecuvântat
găunos masiv
clasă nevoiaș
neserios încredere
septic steril
cu tihnit
abscons direct
dumnezeiesc pământesc
amplu modest
agitat ușor
păstrat proaspăt
neprevăzut previzibil
nepretențios ostentativ
negativ neutru
stângaci suav
limpede neclar
necugetat înțelept
integru incorect
nefiresc natural
animal inanimat
concis prolix
clasă sărman
sensibil încâlcit
neprietenos prietenesc
luminos obscur
grăbit urmă
cu simplu
deprimant vesel
aspru neted
calic mijloc
alt același
deprimant dispus
adecvat neindicat
noros senin
cuvenit nepotrivit
abil ingenuu
drept stâng
insolvent solvabil
neschimbat schimbabil
curajos laș
amorțit dinamic
neliniștit ușor
de neizbutit
nedeslușit sensibil
competent nechemat
ambiguu inechivoc
neconfirmat pecetluit
neastâmpărat ușor
neafectat înduioșat
imposibil probabil
târziu toi
crestat drept
incoruptibil necorect
insensibil senzitiv
trecut viitor
tridimensional unidimensional
impotent viril
curat dizgrațios
brunet bălai
contaminat curat
rimă rimat
schimbător statornic
liniștit tulburat
cald rezervat
ciudat familiar
eșuat succes
mic mare
energic letargic
de impenitent
demonstrativ nepretențios
brut diez
domol vioi
destins încordat
necompetent priceput
leal necorect
blestemat binecuvântat
domol sprinten
primar secundar
nesănătos salutar
nepăsător precaut
treaz îmbătat
proaspăt răsuflat
constant schimbător
negativ pozitiv
generos meschin
bolnav sănătos
impecabil imperfect
dispus demoralizator
gol plin
drept nejust
bolnav însănătoșit
rotunjit unghiular
civilizat nepoliticos
cromatic neutral
cald rece
decis șovăielnic
cinstit strâmb
discontinuu neîntrerupt
isteț prost
principal subordonat
necugetat socotit
constructiv distrugător
energic placid
decis nehotărât
binișor rapid
delicat solid
potrivnic prieten
neajutorat suav
nespart zdrobit
nesupus obedient
nesigur susținut
central periferic
compatibil inconsistent
chel păros
debil viguros
just nedrept
nereușit succes
binecuvântat blestemat
gras slab
curat dezgustător
statornic schimbător
ridicat scăzut
drept injust
delicat nepriceput
neîntrerupt nesigur
necinstit onest
neted zgrunțuros
optimist speranță
agreabil neplăcut
urmă înainte
inteligent prost
bărbătesc poltron
nepretențios provocator
antipatic agreabil
discontinuu neîncetat
descurajant încurajator
mișcare nemișcat
atrofiat hipertrofiat
cardinal ordinal
tihnit îngrijorat
adecvat nepotrivit
just neechitabil
toi tardiv
aspru molatic
generos zgârcenie
tihnit tulburat
de liber
cuvenit neindicat
închis întredeschis
liniștit îngrijorat
nerafinat procesat
sprinten ușor
moderație potrivit
ezitant hotărât
gălăgios liniștit
dezavantajos favorabil
neafectat tulburat
luminos întunecos
concordant inconsistent
debil energic
firav robust
dinapoi dinainte
competent nepriceput
curat contaminat
fizic imaterial
fără rimat
grațios nepriceput
amical vrăjmaș
mărinimos meschin
optimist pesimist
integru neonest
eventual imposibil
moale vârtos
analfabet alfabetizat
gingaș solid
inatacabil vulnerabil
plictisitor vioi
determinant secundar
bisexual homosexual
tardiv toi
bălai tuciuriu
incert neîndoielnic
dinainte dinapoi
periculos sigur
puternic slab
imobil mișcare
eterogen omogen
sănătos uituc
blând intens
amețit treaz
androgin bărbătesc
iute prost
agil prost
endoterm exoterm
cald distant
exterior interior
clasă calic
permanent temporar
angular rotunjit
brav laș
bogat nevoiaș
experimentat experiență
fără gras
probleme tihnit
ager nedeslușit
corect urât
nerăbdător pacient
întredeschis închis
heterosexual pederast
nesigur sine
cu plat
impresionat neafectat
miez târziu
neotrăvitor toxic
nociv nevătămător
competent necalificat
adevărat fals
cuviincios licențios
timid îndrăzneț
de neserios
mândru umil
descurcăreț ingenuu
dezinfectat microbian
avar generos
nesăbuit înțelept
exoterm endotermic
de nesigur
chibzuit necugetat
grațios neîndemânatic
târziu timpuriu
bogat clasă
fără optimist
cu netulburat
corporal imaterial
continuu intermitent
negustoresc necomercial
prezent trecut
intoxicat treaz
divizat unit
reunit separat
miez tardiv
emoționat neafectat
bogat calic
mijloc tardiv
demonstrativ modest
prolix succint
delicat neîndemânatic
bine descurajator
mișcare neclintit
clar opac
de nereușit
aspru moale
debil puternic
fragil solid
colorat incolor
proaspăt păstrat
decent licențios
neplăcut potrivit
nemișcat în
mare îngust
larg strâmt
extraordinar normal
dezavantajos prielnic
sălbatic îmblânzit
ingrat recunoscător
meritoriu nevrednic
conservator liberal
hotărât nedecis
insignifiant important
inconfortabil plăcut
corespunzător inadecvat
meschin nobil
mort viu
rost semnificativ
rimat rimă
bălai negricios
parțial întreg
efectiv ineficient
determinant minor
descurajant voios
diferit similar
constant nestatornic
animal neînsuflețit
familiar nefiresc
descurajator dispus
alternativ opus
exoterm endoterm
imobil în
fantezist simplu
mic înalt
bun rău
dezirabil nedorit
curbat drept
incorect integru
sfios îndrăzneț
nevătămător nociv
invizibil izbitor
rapid încet
drept zimțuit
binevoitor vrăjmaș
microbian steril
armonios diform
jos înalt
gaz plat
ager încurcat
fizic nesubstanțial
ireproșabil urât
de nevoiaș
incoerent logic
cutezător timid
insolvabil solvent
heterosexual homosexual
destins tensionat
colateral drept
tocit tăios
abil inocent
timid încrezător
netulburat probleme
proaspăt vechi
bogat de
adânc ușor
incert pecetluit
apatic energic
nepriceput suav
incorect incoruptibil
fin încurcat
mare minor
bombat scobit
amical dușmănos
robust slab
analfabet carte
avariție generos
inconstant neîntrerupt
euforic mâhnit
divin pământesc
afirmativ nefavorabil
bine descurajant
bogat sărman
arcuit drept
fin nedeslușit
nesfințit sfânt
incert sigur
concentrat distribuit
chel hirsut
imperfect impecabil
plăsmuit real
ud uscat
desăvârșit imperfect
grațios neajutorat
lipsit liber
demoralizant vesel
artificial natural
cuminte nebunesc
bărbătesc femeiesc
nesănătos în
eventual improbabil
deschis închis
neizbutit succes
ascuțit mocnit
fin încâlcit
mare mic
aspru fin
local național
cuminte nesăbuit
bucuros trist
capabil incompetent
ineficace operațional
eterogen unitar
bidimensional unidimensional
molatic necruțător
autentic fals
hotărât șovăielnic
democratic nedemocrat
grăbit în
bisexual heterosexual
fără semnificativ
searbăd vioi
inofensiv nociv
agreabil antipatic
timpuriu întârziat
miez timpuriu
indispensabil nenecesar
bine demoralizator
curat infectat
inflexibil suplu
extern intern
mare strâmt
murdar pur
dominant subordonat
incorect leal
nesubordonat obedient
privat public
uscat ud
alb negru
direct ocolitor
ieftin scump
constructiv nimicitor
general specific
fierbinte rece
drept zimțat
consistent moale
liniștit zgomotos
complex simplu
explicit implicit
elastic inflexibil
toi întârziat
